,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
0,1,Bitcoin,BTC,bitcoin,10380,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem']",21000000.0,19445325.0,19445325.0,False,,1,,,,2023-08-01T20:30:00.000Z,29182.357146471677,16593594278.25209,41.3023,-0.13155882,-0.20690515,-0.15524559,-4.53035882,7.12716095,2.69288736,567460418979.2144,48.2998,612829500075.91,,2023-08-01T20:30:00.000Z,,,,,,2023-08-01 20:32:14.848777
1,1027,Ethereum,ETH,ethereum,7202,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1']",,120175839.62777206,120175839.62777206,True,,2,,,,2023-08-01T20:30:00.000Z,1848.340219447274,6979823821.5379095,52.1338,-0.05382329,-0.57927295,-0.57220711,-3.4545444,-3.13595662,-1.3357595,222125837789.85663,18.9064,222125837789.86,,2023-08-01T20:30:00.000Z,,,,,,2023-08-01 20:32:14.848777
2,825,Tether USDt,USDT,tether,58272,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,83895492718.68802,86706257841.30522,True,,3,,,,2023-08-01T20:30:00.000Z,0.9996595789808881,25609791220.691505,38.3989,0.02485754,-0.01185417,-0.0355779,-0.05177997,-0.06359662,-0.0638076,83866932929.55783,7.1374,86676741208.65,,2023-08-01T20:30:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2023-08-01 20:32:14.848777
3,1839,BNB,BNB,bnb,1551,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,153855114.2477596,153855114.2477596,False,,4,,,,2023-08-01T20:30:00.000Z,246.3973868831862,798960464.581819,-26.1122,0.00222936,2.03075332,3.83835643,0.6183456,-20.04677897,-24.08710834,37909498109.26204,3.2273,37909498109.26,,2023-08-01T20:30:00.000Z,,,,,,2023-08-01 20:32:14.848777
4,52,XRP,XRP,xrp,1017,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio']",100000000000.0,52693851493.0,99988556423.0,False,,5,,,,2023-08-01T20:30:00.000Z,0.6984452800248503,1576554808.7097726,17.291,-0.12968413,-1.83414833,-0.31606865,44.13487731,32.91322191,52.7719036,36803771861.616264,3.1326,69844528002.49,,2023-08-01T20:30:00.000Z,,,,,,2023-08-01 20:32:14.848777
5,3408,USD Coin,USDC,usd-coin,13509,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,26250876095.057114,26250876095.057114,False,,6,,,,2023-08-01T20:30:00.000Z,1.0001019828423252,3911717718.0610876,37.3859,0.0076368,0.02288293,0.01260242,-0.00465456,0.01873171,0.02332945,26253553234.014816,2.2351,26253553234.01,,2023-08-01T20:30:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2023-08-01 20:32:14.848777
6,74,Dogecoin,DOGE,dogecoin,760,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain']",,140416256383.70523,140416256383.70523,True,,7,,,,2023-08-01T20:30:00.000Z,0.07722985439708087,368511890.3871836,7.5826,-0.14714158,-0.36660605,-5.22443644,13.63887662,6.10027302,-1.27729801,10844327035.496733,0.9232,10844327035.5,,2023-08-01T20:30:00.000Z,,,,,,2023-08-01 20:32:14.848777
7,2010,Cardano,ADA,cardano,886,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35010905033.978,36030277985.671,False,,8,,,,2023-08-01T20:30:00.000Z,0.3061975956693269,257126531.69064465,37.8506,-0.05378777,-1.28046127,1.24503264,6.08041677,-19.08366974,-20.36681429,10720254943.611197,0.9127,13778891805.12,,2023-08-01T20:30:00.000Z,,,,,,2023-08-01 20:32:14.848777
8,5426,Solana,SOL,solana,496,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities']",,404509879.233194,553868048.1017171,True,,9,,,,2023-08-01T20:30:00.000Z,23.529746464999395,414186322.0207539,7.5777,-0.26536688,-1.34494022,1.52221921,21.57011481,10.56589983,8.70909241,9518014900.944578,0.8103,13032374746.9,,2023-08-01T20:30:00.000Z,,,,,,2023-08-01 20:32:14.848777
9,1958,TRON,TRX,tron,802,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'sec-security-token', 'alleged-sec-securities']",,89600617259.53853,89600626786.0492,True,,10,71659659264.0,5607157607.695719,,2023-08-01T20:30:00.000Z,0.0782470592978749,209988023.2723662,-19.1831,-0.04820473,0.19102936,-3.96218982,3.30563612,1.90967484,13.33891369,7010984811.833304,0.5969,7010985557.25,,2023-08-01T20:30:00.000Z,,,,,,2023-08-01 20:32:14.848777
10,2,Litecoin,LTC,litecoin,963,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange']",84000000.0,73491939.22743528,84000000.0,False,,11,,,,2023-08-01T20:30:00.000Z,93.17199529181411,754337744.4555578,32.1123,-0.42171001,1.16558489,4.69315851,-16.38561775,-2.07815103,7.06609264,6847390615.684889,0.5829,7826447604.51,,2023-08-01T20:30:00.000Z,,,,,,2023-08-01 20:32:14.848777
11,3890,Polygon,MATIC,polygon,793,2019-04-28T00:00:00.000Z,"['pos', 'platform', 'enterprise-solutions', 'zero-knowledge-proofs', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'layer-2', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'sec-security-token', 'alleged-sec-securities']",10000000000.0,9319469069.28493,10000000000.0,False,,12,,,,2023-08-01T20:30:00.000Z,0.6866893511906871,283687415.4765727,23.6021,-0.1174059,-0.13313325,-2.67073393,2.38311211,-23.66530561,-31.09382873,6399580168.628944,0.5448,6866893511.91,,2023-08-01T20:30:00.000Z,,,,,,2023-08-01 20:32:14.848777
12,6636,Polkadot,DOT,polkadot-new,546,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1211040830.4106305,1340519707.7158103,True,,13,,,,2023-08-01T20:30:00.000Z,5.132336706699843,121117214.26035081,9.7342,-0.08900048,0.69024497,-0.36790935,-4.92977118,-2.7428295,-9.69593808,6215469307.228739,0.529,6879998501.96,,2023-08-01T20:30:00.000Z,,,,,,2023-08-01 20:32:14.848777
13,5994,Shiba Inu,SHIB,shiba-inu,578,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589346914631298.1,589589040239379.6,False,,14,,,,2023-08-01T20:30:00.000Z,8.318482443185848e-06,128784887.68628442,-19.9004,-0.10415615,-1.28378208,6.33778807,9.59209203,-4.09762941,-16.48630885,4902471962.306203,0.4172,4904486079.93,,2023-08-01T20:30:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2023-08-01 20:32:14.848777
14,3717,Wrapped Bitcoin,WBTC,wrapped-bitcoin,1308,2019-01-30T00:00:00.000Z,"['medium-of-exchange', 'defi', 'wrapped-tokens', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'optimism-ecosystem', 'bitcoin-ecosystem']",,161860.18773859,161860.18773859,False,,15,,,,2023-08-01T20:30:00.000Z,29209.200303976268,198299315.88363543,25.5183,-0.04352104,-0.02019604,-0.1367984,-4.34884504,7.18852288,2.73663242,4727806644.8956785,0.4024,4727806644.9,,2023-08-01T20:30:00.000Z,1027.0,Ethereum,ETH,ethereum,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,2023-08-01 20:32:14.848777
0,1,Bitcoin,BTC,bitcoin,10380,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem']",21000000.0,19445325.0,19445325.0,False,,1,,,,2023-08-01T20:31:00.000Z,29184.57386915406,16596490417.549051,41.4264,-0.12988821,-0.19319099,-0.14870428,-4.52335082,7.17873351,2.63033417,567503523872.2081,48.3209,612876051252.24,,2023-08-01T20:31:00.000Z,,,,,,2023-08-01 20:33:14.959347
1,1027,Ethereum,ETH,ethereum,7202,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1']",,120175839.62777206,120175839.62777206,True,,2,,,,2023-08-01T20:31:00.000Z,1848.256721828707,6981950580.116856,52.9831,-0.05463447,-0.60714656,-0.58856808,-3.4642465,-3.08087519,-1.33191752,222115803393.43842,18.9124,222115803393.44,,2023-08-01T20:31:00.000Z,,,,,,2023-08-01 20:33:14.959347
2,825,Tether USDt,USDT,tether,58272,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,83895492718.68802,86706257841.30522,True,,3,,,,2023-08-01T20:31:00.000Z,0.999637538921773,25610034883.398796,38.5904,0.02013899,-0.01103008,-0.03065183,-0.05910542,-0.06303717,-0.06621026,83865083867.93881,7.1373,86674830197.6,,2023-08-01T20:31:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2023-08-01 20:33:14.959347
3,1839,BNB,BNB,bnb,1551,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,153855114.2477596,153855114.2477596,False,,4,,,,2023-08-01T20:31:00.000Z,246.29940025252824,799439984.5972027,-25.9914,-0.03287668,1.96957869,3.77114834,0.59060868,-20.07487688,-24.09550912,37894422365.00741,3.226,37894422365.01,,2023-08-01T20:31:00.000Z,,,,,,2023-08-01 20:33:14.959347
4,52,XRP,XRP,xrp,1017,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio']",100000000000.0,52693851493.0,99988556423.0,False,,5,,,,2023-08-01T20:31:00.000Z,0.6981677693978701,1576027052.7423964,17.4497,-0.19175986,-1.85325047,-0.49009758,44.16628354,32.88198273,52.77688327,36789148757.85043,3.1313,69816776939.79,,2023-08-01T20:31:00.000Z,,,,,,2023-08-01 20:33:14.959347
